"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"2-Hydroxyisobutyrate","2-Hydroxyisobutyrate","HMDB0242161","4277439","19641",NA,NA,"CC(C)(O)C([O-])=O","1"
"Creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"Quinolinate","Quinolinic acid","HMDB0000232","1066","16675","C03722","330","OC(=O)C1=CC=CN=C1C(O)=O","1"
"Valine","L-Valine","HMDB0000883","6287","16414","C00183","5842","CC(C)[C@H](N)C(O)=O","1"
"Dimethylamine","Dimethylamine","HMDB0000087","674","17170","C00543","3758","CNC","1"
"Tryptophan","L-Tryptophan","HMDB0000929","6305","16828","C00078","5879","N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"Methylamine","Methylamine","HMDB0000164","6329","16830","C00218","3767","CN","1"
"Pyroglutamate","Pyroglutamic acid","HMDB0000267","7405","18183","C01879","3251","OC(=O)[C@@H]1CCC(=O)N1","1"
"Leucine","Leucine","HMDB0000687","6106","15603","C00123","24","CC(C)C[C@H](N)C(O)=O","1"
"Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"N,N-Dimethylglycine","Dimethylglycine","HMDB0000092","673","17724","C01026","277","CN(C)CC(O)=O","1"
"tau-Methylhistidine","Methylhistidine","HMDB0000479","64969","27596","C01152","5466","[H][C@](N)(CC1=CN=CN1C)C(O)=O","1"
"Threonine","L-Threonine","HMDB0000167","6288","16857","C00188","32","C[C@@H](O)[C@H](N)C(O)=O","1"
"Betaine","Betaine","HMDB0000043","247","41139","C00719","287","C[N+](C)(C)CC(O)=O","1"
"Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"3-Indoxylsulfate","Indoxyl sulfate","HMDB0000682","10258","43355",NA,"524","OS(=O)(=O)OC1=CNC2=CC=CC=C12","1"
"Fucose","L-Fucose","HMDB0000174","17106","42548","C01019","5812","C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"Glutamine","Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"Serine","Serine","HMDB0000187","5951","17115","C00065","5203","N[C@@H](CO)C(O)=O","1"
"Ethanolamine","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"Citrate","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"Glycolate","Glycolate",NA,"3460","17497 29805","C00160",NA,NA,"1"
"trans-Aconitate","trans-Aconitic acid","HMDB0000958","444212","32806","C02341",NA,"OC(=O)C\C(=C/C(O)=O)C(O)=O","1"
"Hypoxanthine","Hypoxanthine","HMDB0000157","790","17368","C00262","83","OC1=NC=NC2=C1NC=N2","1"
"Guanidoacetate","Guanidoacetic acid","HMDB0000128","763","16344","C00581","5163","NC(=N)NCC(O)=O","1"
"Tyrosine","L-Tyrosine","HMDB0000158","6057","17895","C00082","34","N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"Isoleucine","Isoleucine","HMDB0000172","6306","17191","C00407","5193","CC[C@H](C)[C@H](N)C(O)=O","1"
"Histidine","Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"Uracil","Uracil","HMDB0000300","1174","17568","C00106","258","O=C1NC=CC(=O)N1","1"
"Glycine","Glycine","HMDB0000123","750","15428","C00037","20","NCC(O)=O","1"
"3-Hydroxybutyrate","NA","NA","NA","NA","NA","NA","NA","0"
"3-Hydroxyisovalerate","3-Hydroxyisovaleric acid","HMDB0000754","69362","37084","C20827","5722","CC(C)(O)CC(O)=O","1"
"Acetate","Acetic acid","HMDB0000042","176","15366","C00033","3206","CC(O)=O","1"
"4-Hydroxyphenylacetate","p-Hydroxyphenylacetic acid","HMDB0000020","127","18101","C00642","130","OC(=O)CC1=CC=C(O)C=C1","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"Pyruvate","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(O)=O","1"
"Lysine","Lysine","HMDB0000182","5962","18019","C00047","5200","NCCCC[C@H](N)C(O)=O","1"
"Hippurate","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"Formate","formate","HMDB0304356","283","15740",NA,NA,"[O-]C=O","1"
"1,6-Anhydro-beta-D-glucose","Levoglucosan","HMDB0000640","2724705","30997",NA,"5613","[H][C@@]12OC[C@@H](O1)[C@@H](O)[C@H](O)[C@H]2O","1"
"cis-Aconitate","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"Taurine","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"Succinate","Succinic acid","HMDB0000254","1110","15741","C00042","114","OC(=O)CCC(O)=O","1"
"Trimethylamine N-oxide","Trimethylamine N-oxide","HMDB0000925","1145","15724","C01104","5876","C[N+](C)(C)[O-]","1"
"Trigonelline","Trigonelline","HMDB0000875","5570","18123","C01004","273","C[N+]1=CC=CC(=C1)C([O-])=O","1"
"Methylguanidine","Methylguanidine","HMDB0001522","10111","16628","C02294","3768","CNC(N)=N","1"
"Carnitine","L-Carnitine","HMDB0000062","10917","16347","C00487","52","C[N+](C)(C)C[C@H](O)CC(O)=O","1"
"pi-Methylhistidine","1-Methylhistidine","HMDB0000001","92105","50599","C01152","3741","CN1C=NC(C[C@H](N)C(O)=O)=C1","1"
"2-Aminobutyrate","L-alpha-Aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@H](N)C(O)=O","1"
"O-Acetylcarnitine","L-Acetylcarnitine","HMDB0000201","7045767","57589","C02571","5213","CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C","1"
"Fumarate","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"Adipate","Adipic acid","HMDB0000448","196","30832","C06104","115","OC(=O)CCCCC(O)=O","1"
"1-Methylnicotinamide","1-Methylnicotinamide","HMDB0000699","457","16797","C02918","5667","C[N+]1=CC=CC(=C1)C(N)=O","1"
"Creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"Pantothenate","Pantothenic acid","HMDB0000210","6613","46905","C00864",NA,"CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O","1"
"Acetone","Acetone","HMDB0001659","180","15347","C00207","3745","CC(C)=O","1"
"Glucose","D-Glucose","HMDB0000122","5793","15903","C00031","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Sucrose","Sucrose","HMDB0000258","5988","17992","C00089","137","OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","1"
"2-Oxoglutarate","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"3-Aminoisobutyrate","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(O)=O","1"
"Xylose","D-Xylose","HMDB0000098","135191","53455","C00181","314","O[C@@H]1COC(O)[C@H](O)[C@H]1O","1"
"Lactate","Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"Tartrate","Tartaric acid","HMDB0000956","444305","15671","C00898",NA,"O[C@H]([C@@H](O)C(O)=O)C(O)=O","1"
