"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"192798","Digitalose",NA,"192798",NA,NA,NA,NA,"1"
"79034","12-Hydroxydodecanoic acid","HMDB0002059","79034","39567","C08317","6465","OCCCCCCCCCCCC(O)=O","1"
"10413","4-Hydroxybutyric acid","HMDB0000710","10413","30830","C00989","5678","OCCCC(O)=O","1"
"439230","Mevalonic acid","HMDB0000227","439230","17710","C00418","127","C[C@@](O)(CCO)CC(O)=O","1"
"20975673","NA","NA","NA","NA","NA","NA","NA","0"
"5275508","NA","NA","NA","NA","NA","NA","NA","0"
"8117","DI(Hydroxyethyl)ether","HMDB0251245","8117","46807","C14689",NA,"OCCOCCO","1"
"7501","Styrene","HMDB0034240","7501","27452","C07083",NA,"C=CC1=CC=CC=C1","1"
"441445","NA","NA","NA","NA","NA","NA","NA","0"
"46173990","cyclo-dopa 5-O-glucoside","HMDB0304310","46173990","134458","C17751",NA,"[H][C@]1(CC2=CC(O[C@]3([H])O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)=C(O)C=C2N1)C(O)=O","1"
"46173248","4-(Hydroxylamino)-N,N-dimethylaniline",NA,"46173248",NA,NA,NA,NA,"1"
"19756","Fubridazole",NA,"19756",NA,NA,NA,NA,"1"
"25244229","NA","NA","NA","NA","NA","NA","NA","0"
"167717","NA","NA","NA","NA","NA","NA","NA","0"
"5281158","Dianthalexin",NA,"5281158",NA,NA,NA,NA,"1"
"92042781","NA","NA","NA","NA","NA","NA","NA","0"
"446834","5-Hydroxyferulic acid","HMDB0035484","446834","2069","C05619",NA,"COC1=C(O)C(O)=CC(\C=C\C(O)=O)=C1","1"
"1050","Pyridoxal","HMDB0001545","1050","17310","C00250","6312","CC1=NC=C(CO)C(C=O)=C1O","1"
"441796","Glaucarubinone",NA,"441796",NA,NA,NA,NA,"1"
"5281763","Carpacin",NA,"5281763",NA,NA,NA,NA,"1"
"7768","Epsilon-caprolactam","HMDB0062769","7768","28579","C06593",NA,"O=C1CCCCCN1","1"
"146167","Danielone","HMDB0031704","146167","4316","C10674",NA,"COC1=CC(=CC(OC)=C1O)C(=O)CO","1"
"657272","Glycerophosphocholine","HMDB0000086","657272","16870","C00670","370","C[N+](C)(C)CCOP([O-])(=O)OC[C@H](O)CO","1"
"442416","NA","NA","NA","NA","NA","NA","NA","0"
"4171","Metoprolol","HMDB0001932","4171","6904","C07202","1250","COCCC1=CC=C(OCC(O)CNC(C)C)C=C1","1"
"3672","Ibuprofen","HMDB0001925","3672","5855","C01588","572","CC(C)CC1=CC=C(C=C1)C(C)C(O)=O","1"
"442261","NA","NA","NA","NA","NA","NA","NA","0"
"304599","NA","NA","NA","NA","NA","NA","NA","0"
"440386","NA","NA","NA","NA","NA","NA","NA","0"
"135437","Choline-P",NA,"135437",NA,NA,NA,NA,"1"
"85154","NA","NA","NA","NA","NA","NA","NA","0"
"5426","Thalidomide","HMDB0015175","5426","74947","C07910",NA,"O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12","1"
"33474","NA","NA","NA","NA","NA","NA","NA","0"
"4455","NA","NA","NA","NA","NA","NA","NA","0"
"326","Cuminaldehyde","HMDB0002214","326","28671","C06577",NA,"[H]C(=O)C1=CC=C(C=C1)C(C)C","1"
"31343","NA","NA","NA","NA","NA","NA","NA","0"
"9862","Sulcatone","HMDB0035915","9862","16310","C07287",NA,"CC(C)=CCCC(C)=O","1"
"442769","NA","NA","NA","NA","NA","NA","NA","0"
"4943","Propofol","HMDB0014956","4943","44915","C07523",NA,"CC(C)C1=CC=CC(C(C)C)=C1O","1"
"11799","NA","NA","NA","NA","NA","NA","NA","0"
"10760","NA","NA","NA","NA","NA","NA","NA","0"
"439864","NA","NA","NA","NA","NA","NA","NA","0"
"439516","NA","NA","NA","NA","NA","NA","NA","0"
"10209","NA","NA","NA","NA","NA","NA","NA","0"
"6328134","NA","NA","NA","NA","NA","NA","NA","0"
"442916","4-Hydroxy-3-(3-methyl-2-butenyl)acetophenone","HMDB0030770","442916","585101","C10702",NA,"CC(C)=CCC1=C(O)C=CC(=C1)C(C)=O","1"
"29719","5-S-Cysteinyl-D-dopa","HMDB0244850","29719",NA,"C17935",NA,"NC(CSC1=CC(CC(N)C(O)=O)=CC(O)=C1O)C(O)=O","1"
"20056682","Streptobiosamine",NA,"20056682",NA,NA,NA,NA,"1"
"688492","(+)-Dehydrovomifoliol","HMDB0302822","688492","4372","C02533",NA,"[H]\C(=C(\[H])[C@@]1(O)C(C)=CC(=O)CC1(C)C)C(C)=O","1"
"127864","NA","NA","NA","NA","NA","NA","NA","0"
"5281124","NA","NA","NA","NA","NA","NA","NA","0"
"91458","NA","NA","NA","NA","NA","NA","NA","0"
"348162","Sakuranin","HMDB0302696","348162",NA,NA,NA,"COC1=CC(OC2OC(CO)C(O)C(O)C2O)=C2C(=O)CC(OC2=C1)C1=CC=C(O)C=C1","1"
"6853","Fluorene","HMDB0252355","6853","28266","C07715",NA,"C1C2=CC=CC=C2C2=CC=CC=C12","1"
"164950","Robustine",NA,"164950",NA,NA,NA,NA,"1"
"17190","NA","NA","NA","NA","NA","NA","NA","0"
"440096","S-Acetylphosphopantetheine",NA,"440096",NA,NA,NA,NA,"1"
"443337","8-Epiiridodial glucoside",NA,"443337","2318","C11656",NA,"CC1=CO(O2O(CO)(O)(O)2O)21CC2C","1"
"5489029","Codeine-6-glucuronide","HMDB0060464","5489029","80580","C16577",NA,"[H][C@]12C=C[C@H](O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@@H]3OC4=C5C(C[C@H]1N(C)CC[C@@]235)=CC=C4OC","1"
"89644","Altersolanol A",NA,"89644",NA,NA,NA,NA,"1"
"5280696","NA","NA","NA","NA","NA","NA","NA","0"
"16070001","NA","NA","NA","NA","NA","NA","NA","0"
"6452294","NA","NA","NA","NA","NA","NA","NA","0"
"7499","4-Vinylcyclohexene","HMDB0246592","7499",NA,"C19310",NA,"C=CC1CCC=CC1","1"
"5200","NA","NA","NA","NA","NA","NA","NA","0"
"85782","3,4-Dihydroxymandelic acid","HMDB0001866","85782","27637","C05580","696","OC(C(O)=O)C1=CC=C(O)C(O)=C1","1"
"34633","Moricizine","HMDB0014818","34633","6997","C07743",NA,"CCOC(=O)NC1=CC2=C(SC3=CC=CC=C3N2C(=O)CCN2CCOCC2)C=C1","1"
"637775","Sinapic acid","HMDB0032616","637775","15714","C00482",NA,"COC1=CC(\C=C\C(O)=O)=CC(OC)=C1O","1"
"14335","N'-nitrosoanabasine","HMDB0041939","14335",NA,"C19477",NA,"O=NN1CCCCC1C1=CN=CC=C1","1"
"13666","NA","NA","NA","NA","NA","NA","NA","0"
