# Date: 2017-06-02 16:41:18 UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# FID: control_20.zip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Biofluid: Serum (Filtered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# NMR Frequency: 500 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DSS Concentration: 833.0 µM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Fast Profile: No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Concentration Units: µM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMDB,Compound Name,control_1,control_2,control_3,control_4,control_5,control_6,control_7,control_8,control_9,control_10,control_11,control_12,control_13,control_14,control_15,control_16,control_17,control_18,control_19,control_20,case_1,case_2,case_3,case_4,case_5,case_6,case_7,case_8,case_9,case_10,case_11,case_12,case_13,case_14,case_15,case_16,case_17,case_18,case_19,case_20
Label,,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,control,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case,case
-,DSS,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833
HMDB00001,1-Methylhistidine,26.1,36.9,46.5,87.5,16.2,59.1,25.4,22.4,37.9,22.9,51.4,52,99,25.5,26.4,35.2,0,51.3,75,34.2,17.9,40.9,20,20.2,17.9,34.2,31,56.7,58.4,29.3,19.5,63.1,42.4,55.9,47.8,44.5,49.2,29.2,23.1,46.3
HMDB00008,2-Hydroxybutyrate,14.2,6.4,21.9,8.3,14.5,12.5,10.2,21.2,15.4,0,0,6.2,7.9,17,10.9,6.8,13.5,12.9,16.6,12.9,25.2,25.1,13.8,31.8,31.2,16.9,33.6,38.7,16.4,34.8,8.9,23.4,57.2,12.8,23.4,11.9,28.1,29.1,38.2,30.6
HMDB00042,Acetic acid,11.2,17.3,13.3,21.3,35.3,35.3,21.1,53,24.6,21.5,25.7,23.8,19.4,32.7,17.1,17,25.4,29.2,16.4,15.9,16.7,27.6,40.7,29.8,38,14.7,32,22.9,21.4,22.9,14.8,15.5,16.2,12.1,26.2,16,21.2,41,26.1,21.2
HMDB00043,Betaine,50.1,51.9,45.6,40.8,73.6,35.2,63.4,51.6,64.2,65,57.6,35.8,33.5,43.8,42.2,34.2,46.9,87.7,43.4,41.6,60.8,49.8,55.1,43.5,30.5,27.2,39.4,45.4,44.1,51.3,38.5,24.7,22.5,32.6,50.2,37.3,45,29.6,52.7,48.6
HMDB00060,Acetoacetate,9.6,8.9,18.1,15.5,10.8,6.4,11.3,27,13.7,5.6,10.6,6.1,11.6,13,7,9.4,7,8.5,8.2,5,35.5,33.1,36.4,28.6,60.9,36.7,40.9,22.4,9.9,41,19.1,7.1,13.6,9.6,46.7,28,57,57.6,43.7,13.2
HMDB00062,L-Carnitine,29.6,33.5,41.7,50.3,50.9,53.7,53.3,45.7,32.4,36.9,49.1,53.1,48.5,30.1,31.1,37.9,27.4,50.6,44.7,30.6,30.3,28.4,39,45.1,43.9,24.2,40,30.3,54.6,47.3,36.7,28,44,40.5,30.5,38.6,40.1,25.9,45.6,34.9
HMDB00064,Creatine,49.7,37.4,60,43.8,26,21,46.7,27.6,63.2,41.5,37.3,35.4,14.2,17.3,42.2,6.3,22.1,53.6,33.2,39.6,31.7,48.2,57,48.9,33.7,5.3,15.5,21.8,16.9,12.7,11.5,32.2,30.8,20.4,9.7,8.1,28.6,14.8,35,35.4
HMDB00094,Citric acid,99.7,79.7,89.5,67.7,107,75.5,112.2,104.3,81.3,90.4,79.2,77.9,86.2,99,68.4,54.4,70.5,98.7,62.1,71.8,136.8,118.2,127.3,102.8,114.7,63.7,116,114.8,85.7,99.4,82.5,75.3,108.9,92.1,87.1,101.1,105.2,115.6,94.7,65.9
